Date,Name,Year,Letterboxd URI,Rating
2015-01-30,Jodi Arias: Dirty Little Secret,2013,https://letterboxd.com/film/jodi-arias-dirty-little-secret/,2.5
2015-01-30,Cool Runnings,1993,https://letterboxd.com/film/cool-runnings/,4
2015-01-30,The Thing,1982,https://letterboxd.com/film/the-thing/,4.5
2015-01-30,Whitney,2015,https://letterboxd.com/film/film:246286/,3.5
2015-01-30,Dark Skies,2013,https://letterboxd.com/film/dark-skies-2013/,3.5
2015-01-30,Friday the 13th Part III,1982,https://letterboxd.com/film/friday-the-13th-part-iii/,3
2015-01-30,Dawn Anna,2005,https://letterboxd.com/film/dawn-anna/,3.5
2015-02-07,The Town that Dreaded Sundown,2014,https://letterboxd.com/film/the-town-that-dreaded-sundown-2014/,2
2015-02-21,Birdman,2014,https://letterboxd.com/film/birdman/,3.5
2015-03-03,Obvious Child,2014,https://letterboxd.com/film/obvious-child/,4
2015-03-04,Shooter,2007,https://letterboxd.com/film/shooter/,2
2015-03-13,The Theory of Everything,2014,https://letterboxd.com/film/the-theory-of-everything-2014/,4
2015-03-15,Enough Said,2013,https://letterboxd.com/film/enough-said/,4
2015-03-20,Run All Night,2015,https://letterboxd.com/film/run-all-night/,2.5
2015-03-21,Life Itself,2014,https://letterboxd.com/film/life-itself/,4
2015-03-22,Taxi Driver,1976,https://letterboxd.com/film/taxi-driver/,4.5
2015-03-27,The Thin Blue Line,1988,https://letterboxd.com/film/the-thin-blue-line/,3
2015-03-28,No No: A Dockumentary,2014,https://letterboxd.com/film/no-no-a-dockumentary/,4
2015-03-31,Going Clear: Scientology and the Prison of Belief,2015,https://letterboxd.com/film/going-clear-scientology-and-the-prison-of-belief/,4
2015-04-03,Interstellar,2014,https://letterboxd.com/film/interstellar/,4
2015-04-04,Atari: Game Over,2014,https://letterboxd.com/film/atari-game-over/,3.5
2015-04-04,The Master,2012,https://letterboxd.com/film/the-master-2012/,4
2015-04-04,Gone Girl,2014,https://letterboxd.com/film/gone-girl/,3.5
2015-04-04,Sabotage,2014,https://letterboxd.com/film/sabotage-2014/,3
2015-04-04,Cocaine: One Man's Seduction,1983,https://letterboxd.com/film/cocaine-one-mans-seduction/,2.5
2015-04-04,Batman Returns,1992,https://letterboxd.com/film/batman-returns/,2.5
2015-04-04,Flashdance,1983,https://letterboxd.com/film/flashdance/,4
2015-04-04,Scarface,1983,https://letterboxd.com/film/scarface-1983/,4
2015-04-04,Guardians of the Galaxy,2014,https://letterboxd.com/film/guardians-of-the-galaxy/,4
2015-04-04,The Babadook,2014,https://letterboxd.com/film/the-babadook/,4
2015-04-04,Restless Virgins,2013,https://letterboxd.com/film/restless-virgins/,2.5
2015-04-04,Showgirls,1995,https://letterboxd.com/film/showgirls/,3
2015-04-05,Free Angela and All Political Prisoners,2012,https://letterboxd.com/film/free-angela-and-all-political-prisoners/,4
2015-04-06,Saving Grace,2000,https://letterboxd.com/film/saving-grace/,4
2015-04-07,Furious 7,2015,https://letterboxd.com/film/furious-7/,3
2015-04-11,Cobra,1986,https://letterboxd.com/film/cobra-1986/,4
2015-04-14,Inherent Vice,2014,https://letterboxd.com/film/inherent-vice/,4
2015-04-26,Foxcatcher,2014,https://letterboxd.com/film/foxcatcher/,4
2015-05-06,Cobain: Montage of Heck,2015,https://letterboxd.com/film/cobain-montage-of-heck/,4
2015-05-08,Big Eyes,2014,https://letterboxd.com/film/big-eyes/,4
2015-05-09,Dragon Wars: D-War,2007,https://letterboxd.com/film/dragon-wars-d-war/,2
2015-05-11,Dante's Inferno: An Animated Epic,2010,https://letterboxd.com/film/dantes-inferno-an-animated-epic/,4
2015-05-12,Nightcrawler,2014,https://letterboxd.com/film/nightcrawler/,4
